Hour,Lat,Lon
21,40.846741539,-73.906482233
21,40.684998931,-73.93844593
21,40.693065804,-73.999543473
4,40.670206898,-73.923942878
0,40.679670066,-73.936136211
5,40.708909009,-73.965804097
1,40.722273155,-73.976342426
22,40.696493892,-73.949430815
17,40.637804468,-73.942377197
1,40.670667775,-73.93233809
21,40.854120099,-73.888809888
10,40.638614237,-73.948267625
1,40.852841995,-73.88417431
6,40.685650526,-73.980487523
5,40.887313634,-73.847271758
21,40.829363293,-73.919045385
4,40.605163421,-73.754847799
22,40.734983188,-73.988054214
7,40.638335307,-74.164483967
19,40.684069625,-73.75818135
17,40.859639663,-73.86323458
3,40.676064661,-74.00240969
5,40.81493989,-73.886592131
23,40.655621162,-73.919937382
19,40.642043072,-73.949609007
1,40.844350414,-73.815105671
10,40.5580167,-74.130417978
5,40.654952417,-73.958000222
22,40.637223031,-73.912627224
22,40.841694933,-73.911108193
19,40.868587481,-73.883311681
5,40.818413984,-73.907277131
20,40.857082062,-73.901352508
2,40.671411663,-73.881511724
0,40.689491039,-73.908018925
23,40.817755155,-73.91801901
21,40.696979876,-73.792740591
10,40.836678228,-73.915596087
10,40.578510134,-73.934900975
10,40.663996333,-73.893848712
4,40.861063085,-73.893447414
22,40.820411063,-73.893331855
11,40.699837274,-73.913089739
15,40.872845399,-73.898794425
6,40.835577917,-73.908803531
15,40.689097532,-73.925616087
22,40.686082215,-73.919233753
1,40.869588539,-73.900050398
6,40.847688805,-73.934930327
22,40.816366145,-73.867626311
2,40.801392386,-73.93271089
5,40.703499897,-73.767495386
1,40.740824511,-73.974260858
0,40.833450977,-73.943407506
22,40.727606514,-73.97781979
2,40.636818967,-74.118653127
22,40.665114176,-73.891673378
1,40.783898154,-73.950285241
0,40.816068266,-73.908552085
3,40.739095849,-73.896774703
22,40.857418359,-73.893706303
9,40.661821983,-73.996479956
2,40.811112268,-73.906344446
5,40.658196944,-73.958538808
23,40.574825477,-73.99092661
14,40.725980641,-73.990801407
16,40.796341237,-73.941199816
18,40.633486765,-74.163427185
18,40.633486765,-74.163427185
17,40.67432526,-73.888388621
7,40.812190348,-73.924206908
1,40.673567652,-73.807384888
15,40.823180032,-73.866536043
20,40.802620306,-73.951087574
19,40.766406832,-73.968377423
14,40.631766312,-73.887299705
22,40.880398548,-73.863853651
20,40.64480152,-74.005269715
12,40.586104414,-74.162630773
20,40.6928309,-73.758149574
23,40.671657217,-73.958198788
2,40.590091841,-74.094684252
21,40.851111636,-73.935255912
4,40.860928316,-73.920308429
19,40.699693597,-73.766488035
14,40.768940729,-73.911443572
1,40.745222604,-73.91045017
6,40.820979933,-73.849642388
0,40.600205912,-74.121501323
20,40.853587401,-73.900591356
17,40.667629873,-73.896254478
16,40.810328321,-73.91476613
22,40.608883423,-74.083157189
15,40.636744136,-74.134282972
19,40.685077953,-73.927993087
21,40.637483796,-74.00749944
18,40.65149337,-73.924533616
17,40.642006612,-73.9017029
3,40.817503461,-73.941975939
21,40.662692805,-73.88830716
8,40.608391809,-74.14661153
8,40.608391809,-74.14661153
8,40.608391809,-74.14661153
2,40.853064489,-73.868944957
21,40.750331537,-73.792130675
19,40.827668623,-73.925435892
16,40.706860328,-73.948196631
23,40.803393591,-73.938145012
10,40.596213982,-73.764700204
16,40.811393119,-73.922314872
19,40.644590276,-74.001900465
9,40.684792115,-73.878556569
20,40.857922634,-73.892895732
22,40.676231908,-74.006944997
21,40.576124128,-73.99982505
15,40.661079525,-73.894822924
0,40.606404746,-74.120479003
14,40.548991392,-74.230271459
14,40.66475956,-73.894042144
13,40.679907552,-73.920784329
9,40.68190669,-73.89458817
7,40.676487297,-73.837065184
3,40.683276253,-73.930623478
23,40.66156215,-73.925945955
8,40.674601815,-73.938614149
11,40.873601668,-73.845603792
4,40.883927913,-73.901323524
22,40.687140512,-73.856146091
